NAME,POSITION,START_SEASON,END_SEASON,TRANSFERRED FROM,TRANSFERRED TO,APPEARANCES,GOALS
SAMMELS Jon,M,1962,1971,Apprentice,Leicester City,215,39
SANSOM Kenny,FB,1980,1988,Crystal Palace,Newcastle United,314,6
SANTOS Andre,FB,2011,2013,Fenerbahce,Flamengo,23,2
SCHWARZ Stefan,M,1994,1995,Benfica,Fiorentina,34,2
SCOTT Laurie,FB,1946,1952,Bradford City,Crystal Palace,115,0
SEAMAN David,G,1990,2003,Queens Park Rangers,Manchester City,405,0
SELLEY Ian,M,1992,1997,Youth Trainee,Fulham,41,0
SENDEROS Philippe,CD,2004,2008,Servette,Fulham,64,4
SHAABAN Rami,G,2002,2003,Djurgaardens IF,Brighton,3,0
SHAW Arthur,WH,1949,1955,Brentford,Watford,57,0
SHAW Paul,F,1994,1997,Youth Trainee,Millwall,12,2
SILVA Gilberto,M,2002,2008,Atletico Mineiro,Panathinaikos,170,17
SILVESTRI Mikael,CD,2008,2010,Manchester United,Werder Bremen,26,3
SIMPSON Peter,CD,1963,1978,Apprentice,New England Teamen,370,10
SKIRTON Alan,W,1960,1967,Bath City,Blackpool,145,53
SLOAN Paddy,WH,1946,1948,Tranmere Rovers,Sheffield United,33,1
SMITH Alan,F,1987,1995,Leicester City,Retired,264,86
SMITH Alan,W,1946,1947,-,Brentford,3,0
SMITH Lionel,FB,1947,1954,Denaby United,Watford,162,0
SMITHSON Rodney,CD,1962,1963,Apprentice,Oxford United,2,0
SNEDDEN John,CH,1959,1965,Youth Trainee,Charlton Athletic,83,0
SONG Alex,M,2005,2012,Bastia,Barcelona,138,7
SPARROW Brian,FB,1983,1984,Apprentice,Crystal Palace,2,0
SQUILLACI Sebastien,CD,2010,2011,Sevilla,Bastia,23,0
STANDEN Jim,G,1957,1961,Rickmansworth,Luton Town,35,0
STAPLETON Frank,F,1974,1981,Apprentice,Manchester United,225,75
STEAD Kevin,D,1978,1979,Tottenham Hotspur,Oxford City,2,0
STEPANOVS Igors,CD,2000,2003,Skonto Riga,Grasshopper Zurich,17,0
STOREY Peter,D,1965,1977,Apprentice,Fulham,391,9
STRONG Geoff,IF,1960,1965,Stanley United,Liverpool,125,69
SUKER Davor,F,1999,2000,Real Madrid,West Ham United,22,8
SULLIVAN Con,G,1953,1958,Bristol City,Retired,28,0
SUNDERLAND Alan,F,1977,1984,Wolverhampton Wds.,Ipswich Town,206,55
SWALLOW Ray,W,1954,1958,Youth Trainee,Derby County,13,4
SWINDIN George,G,1936,1954,Bradford City,P./Mgr. Peterborough United,271,0
SYLVINHO,FB,1999,2001,Corinthians,Celta Vigo,55,3
TALBOT Brian,M,1978,1985,Ipswich Town,Watford,254,40
TAPSCOTT Derek,CF,1953,1958,Barry Town,Cardiff City,119,62
TAVLARIDIS Efstathios,D,2002,2003,Iraklis,Lille,1,0
TAWSE Brian,W,1964,1965,King Street A.,Brighton,5,0
TAYLOR Stuart,G,2001,2003,Youth Trainee,Aston Villa,18,0
THOMAS Michael,M,1986,1992,Apprentice,Liverpool,163,24
TIDDY Mike,W,1955,1958,Cardiff City,Brighton,48,8
TILLEY Peter,WH,1953,1954,Witton Albion,Bury,1,0
TOURE Kolo,CD,2002,2007,ASEC Mimosas,Manchester City,225,9
TRAORE Armand,FB,2007,2012,Monaco Youth,Queens Park Rangers,13,0
UPSON Matthew,CD,1997,2002,Luton Town,Birmingham City,34,0
URE Ian,CH,1963,1970,Dundee,Manchester United,168,2
VAESSEN Paul,F,1978,1982,Apprentice,Fisher Athletic,32,6
VAN BRONCKHORST Giovanni,M,2001,2003,Rangers,Barcelona,41,2
VAN PERSIE Robin,F,2004,2012,Feyenoord,Manchester United,194,96
VELA Carlos,F,2008,2011,CD Guadalajara Youth,Real Sociedad,29,3
VERMAELEN Thomas,CD,2009,2014,Ajax,Barcelona,110,13
VERNAZZA Paolo,M,1997,2001,Youth Trainee,Watford,5,1
VIEIRA Patrick,M,1996,2005,AC Milan,Juventus,279,28
VIVAS Nelson,D,1998,2001,Boca Juniors,Inter. Milan,40,0
WADE Joe,FB,1946,1955,Hoxton B.C.,P./Mgr. Hereford United,86,0
WALFORD Steve,D,1977,1981,Tottenham Hotspur,Norwich City,77,3
WALLER Harry,WH,1946,1947,Ashington,LeYouth Traineeon Orient,8,0
WALLEY Tom,M,1965,1967,Caernarfon,Watford,14,1
WALSH Brian,W,1953,1956,Youth Trainee,Cardiff City,17,0
WARD Gerry,WH,1953,1963,Youth Trainee,LeYouth Traineeon Orient,81,10
WEBSTER Malcolm,G,1969,1970,Apprentice,Fulham,3,0
WESTON Rhys,CD,1999,2000,Youth Trainee,Cardiff City,1,0
WHYouth TraineeE Chris,CD,1981,1986,Apprentice,Los Angeles Lazers,90,8
WILKINSON Jack,CF,1954,1955,Witton Albion,Sheffield United,1,0
WILLIAMS Steve,M,1984,1988,Southampton,Luton Town,95,4
WILLS Len,FB,1953,1961,Eton Manor,Romford,195,4
WILMOT Rhys,G,1985,1987,Apprentice,Plymouth Argyle,8,0
WILSON Bob,G,1963,1974,Wolverhampton Wds.,Retired,234,0
WILTORD Sylvain,F,2000,2004,Bordeaux,Olympique Lyonnais,106,31
WINTERBURN Nigel,FB,1987,2000,Wimbledon,West Ham United,440,8
WOOD George,G,1980,1983,Everton,Crystal Palace,60,0
WOODCOCK Tony,F,1982,1986,F.C.Koln,F.C.Koln,131,56
WOODWARD John,M,1966,1967,Possilpark,York City,3,0
WREH Christopher,F,1997,1999,AS Monaco,Al Hilal,28,3
WRIGHT Ian,F,1991,1998,Crystal Palace,West Ham United,221,128
WRIGHT Richard,G,2001,2002,Ipswich Town,Everton,12,0
YENNARIS Nico,D,2011,2012,Youth Trainee,Brentford,1,0
YOUNG Allan,CH,1960,1961,Youth Trainee,Chelsea,4,0
YOUNG Willie,CD,1976,1982,Tottenham Hotspur,Nottingham Forest,170,11
